id,name,barcode,category
351fa593-fc24-41da-8b63-63e437f592a5,Osteocart Plus C / 10 Comprimido,7798176420175,Condroprotetores
249c701d-22d6-4b9f-af00-89cf6e58dfcd,Otocanis 10ml,7896210503362,Tratamentos Otológicos
1f0987f0-bcaa-423f-93ba-360e00988a27,Otocanis Ma X 15ml,7896210500668,Tratamentos Otológicos
fc8c3519-4a02-4980-a8dd-28817eb6d214,Otode X 15ml,7898006190350,Tratamentos Otológicos
db9bbd92-0646-42e9-b7b4-ede5bbe2123c,Otodem Plus 20ml,7898043431416,Tratamentos Otológicos
a75e46b1-0fad-4962-a36e-fcc8d47b1c41,Otoguard 20ml,7898146300213,Tratamentos Otológicos
191b414c-dbf5-4569-bb13-78c585b4c580,"Otoma X 12,5g",8713184173270,Tratamentos Otológicos
3b32c316-462e-4def-a884-289f15a35261,Otosana 20ml,7897085901208,Tratamentos Otológicos
7bf73e71-75dd-49fc-8a62-778f24ed458c,Otospan 10ml,7898315810321,Tratamentos Otológicos
8be9f9c9-17d4-4c9f-a1d5-1830b8dfee58,PET Away Aerossol 400ml,7898043430198,Adestradores
444b76e9-8dc5-471d-ab33-708a9f4de953,PET Milk 300g,7898053580708,Suplementos Alimentares
80cd6d3b-e02e-4488-a7d0-ebb1f79ee48d,PET Palitos 1kg,7898195860294,Suplementos Alimentares
d957989b-d1e7-47a2-8d6e-4f210dbea7f9,PET Palitos Kit 160g,7898195864667,Suplementos Alimentares
274ec3f8-cd6a-41bf-b68e-d37a6f0d5389,PET Palitos Zero 160g,7898195862328,Suplementos Alimentares
b6e36519-cd59-417e-bc90-9e1af293a20d,Pa Higienica Grande Pw Clean PET Injet,7898602024363,Cães / Gatos
06ac8124-6ca0-4bd8-970b-96edb4d3b441,Papagaio Triple X Band (E) Quatigua,7898575714377,Gaiolas
6cef9011-1c13-451f-85d7-666a7d48d709,Paracanis 30ml,7898935931468,Homeopáticos
f3a4be47-eea4-4d0a-a660-b0ac621945b9,Parquinho Grande 003 Damasco,7896048966056,Pássaro
7eab5a75-6ccc-45a4-98eb-ff05e5062abd,Pedestal Nº 6 (E),7898154110378,Gaiolas
d0af8280-d5c9-4f13-9f2a-c3b1757884a5,Pedigree Adulto Rg Car / Veg 15kg,7896029064344,Pedigree Caes Sc
fdfd98b7-6804-402b-9ecd-095eee88840a,Pedigree Adulto Rg Car / Veg 20kg,7896029068182,Pedigree Caes Sc
2481bb50-ee3a-43a8-9af7-c04c5918a6b3,Pedigree Adulto Rp 15kg,7896029069172,Pedigree Caes Sc
e0249c20-e01b-4ed4-8f9a-9ddc5d33a0a3,Pedigree Adulto Rp 20kg,7896029069141,Pedigree Caes Sc
8e2efb4b-f371-42c0-8f9b-dcda3e843658,Pedigree Biscrok Multi 500g,7896029041932,Petiscos
be715bfd-4b89-4381-bbb3-82e7b6d31bea,Pedigree Biscrok Rg Ma X I 500g,7896029043271,Petiscos
104b0e35-ecf3-42d6-a6ed-6dd4a4e64479,Pedigree Biscrok Rp 500g,7896029043387,Petiscos
377a21c9-084d-4393-869e-1cc4e2c114f9,Pedigree Champ Adulto Car / Cereais 15kg,7896029074633,Pedigree Caes Sc
29c53af2-a796-4d2f-9c47-1b268f51e729,Pedigree Champ Adulto Car / Cereais 20kg,7896029061060,Pedigree Caes Sc
9db29f30-1a95-44a8-a1ee-1f4d5f7a7325,Pedigree Denta Fresh 200g,7896029043851,Petiscos
a9d8f111-b31b-42c8-98e7-1547fd534c9c,Pedigree Eq Nat Adulto Rg Car / Veg 15kg,,Pedigree Caes Sc
d3167b50-efe6-4fb3-a138-8fd4085ce547,Pedigree Eq Nat Adulto Rg Car / Veg 20kg,7896029095737,Pedigree Caes Sc
02d77bc6-1ad5-41b6-b415-3df4d6e342f1,Pedigree Fil Rg 15kg,7896029006672,Pedigree Caes Sc
4fcc2ebe-1d38-4dc7-8c69-606b70e55438,Pedigree Fil Rg 20kg,7896029006641,Pedigree Caes Sc
2de25c0b-c1cb-46e3-9957-0bde459e0e40,Pedigree Marrobone 500g,7896029041963,Petiscos
f23a766a-4212-47fc-9ed6-21bd8dcbb767,Peitoral Americano Engate 40Mm Tam 0 - 1 - 2 - 3,7898617774772,Peitoral
80d8221a-0ab8-4550-a928-d43b1962dec7,Peitoral Confort M American Pets,7899558700509,Peitoral
6db4350c-5924-42f7-be11-eb8f08c4996e,Peitoral Cost. Reforçado Seda N.6 30Mm,7898674120147,Peitoral
7963df48-9877-453a-8e45-0b3c13b538cb,Peitoral Costurado Seda N.3 20Mm,7898674120109,Peitoral
b26cedf9-3d53-46ba-b2a8-a01ebc9c2450,Peitoral P / Calopsita Rubem,1241454101250,Peitoral
fb1badf6-f28f-4208-ada6-bc7656fe7823,Peitoral Strass N.2,7899781611269,Peitoral
b38486b2-e2f6-4839-a195-9e0d1889b6c3,Pelefood Dog 120g,7898195860904,Vitaminas
bca1bafb-bc6f-48aa-81ca-c5df4eb6c5d9,Pelefood Tabs 40g,7898195861376,Vitaminas
1301ddb4-cc81-4472-8dd6-ab3c8557b81e,Pelo&Derme 1500 Dha+Epa 90g C / 60 Capsula,7898053594880,Suplementos Alimentares
6e913ecf-f93d-427e-a434-eff5d582a068,Pelo&Derme 750 Dha+Epa 45g C / 60 Cápsulas,7898053594873,Suplementos Alimentares
271e3c10-6fc7-4c87-97e3-babeb4e1a511,"Pentabiotico Pq Porte 1.200.000 1,7g / 4ml",7898049710935,Antibióticos
f1f329ff-e7db-4954-84f8-4f97ad84c26c,"Pentabiotico Reforcado 8,5g / 15ml 6000.000",7898049710997,Antibióticos
550dd773-0bca-4153-af35-684494565b50,"Pentabiotico Veterinario 2.400.000 Ui 3,4g / 6ml",7898049711086,Antibióticos
a9470a1a-9bea-475e-a51f-098591b9740a,Pente Gr De Metal Chalesco 61 Dentes,7898927674755,Utencílios
330a327e-b42a-4b61-9cbb-81fcdb74550d,Pente Tira Pulga Napi,7898683360145,Utencílios
a199121a-bc43-434a-87fd-ebd04cd01e7a,Pento Duplo 19 - 30,7890001002164,Cães / Gatos
a6d56fd1-969a-4b12-a852-3a6ad6e86495,Pero X Yde X Spherulites 125ml,7897515653790,Dermatológicos
63044e55-9fd0-4c37-a176-12c64bf067af,Pero X Yde X Spherulites 500ml,7897515653806,Dermatológicos
330faa4e-a5ea-42e3-989c-bbba6ac85b67,Pero X Yl Caes 125ml,7897455100194,Dermatológicos
9182beed-7542-4299-9a25-df506dd5178b,Pero X Yl Caes 420ml,7897455100262,Dermatológicos
253c3256-f523-420a-b3ec-6d2f619b08ad,Petbrilho Banho Seco 200ml,7898275011530,Higiene
60a81c2d-b308-4efb-9ab4-c26896a2c46a,Petbrill Desembaraçante 120ml,7898275013312,Higiene
8ff0dae4-20ec-411a-a855-fa7663e54acb,Petisco Care Snacks Bai X O Calorias 80g,7891000247273,Petiscos
523919ed-097c-49f4-b23a-4d15fc5663cd,Petisco Care Snacks Digestao 80g,7891000247303,Petiscos
75931baa-acc9-4c04-bf0a-2e323fc34427,Petisco Care Snacks Pele E Pelagem 80g,7891000247259,Petiscos
9f3a4983-0d88-4939-a605-f4f5599ab459,Petpril 10Mg C / 30 Comprimido,7896006210139,Vaso Dilatadores
520c5f06-4f5d-4c4b-838f-62592ce5938e,Petsporin 300Mg C / 1 Comprimido,7897085902182,Antibióticos
fc4ca5a9-dca3-4818-990c-8f68df98c474,Petsporin 600Mg C / 1 Comprimido,7897085911658,Antibióticos
cd3314d3-d143-466f-8815-e023f37c6a2a,Petsporin 75Mg C / 1 Comprimido,7897085902885,Antibióticos
15f133bc-3d69-46f2-8a96-b232d006d2de,Petzi Plus Suspensao 20ml,7898043430747,Vermífugos
32c70ca2-2a6e-4665-adbc-56f2b647d574,Pipi Dog Adestrador Canino 20ml,7891126001537,Adestradores
